,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10033,2.0,2.0,0.0,0.0,3.0,6.0,1.0,9.0,2.0,8.0,3.0,4.0,5.0,2.0,29.0,52.0,-8.684999999999999,2.0,0.0,0.0,0.0,4.0,7.0,2.0,10.0,3.0,1.0,4.0,5.0,6.0,3.0,0.0
10034,2.0,0.0,0.0,0.0,4.0,7.0,2.0,10.0,3.0,1.0,4.0,5.0,6.0,3.0,35.0,17.0,-33.295,2.0,0.0,0.0,0.0,5.0,8.0,3.0,1.0,4.0,2.0,5.0,1.0,7.0,4.0,0.0
10035,2.0,0.0,0.0,0.0,5.0,8.0,3.0,1.0,4.0,2.0,5.0,1.0,7.0,4.0,45.0,34.0,-17.119999999999997,2.0,0.0,0.0,0.0,6.0,9.0,4.0,2.0,5.0,3.0,1.0,2.0,8.0,1.0,0.0
10036,2.0,0.0,0.0,0.0,6.0,9.0,4.0,2.0,5.0,3.0,1.0,2.0,8.0,1.0,8.0,8.0,-5.13,2.0,2.0,0.0,2.0,7.0,1.0,5.0,3.0,6.0,4.0,2.0,3.0,9.0,2.0,0.0
10037,2.0,2.0,0.0,2.0,7.0,1.0,5.0,3.0,6.0,4.0,2.0,3.0,9.0,2.0,0.0,12.0,-18.724999999999998,2.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,7.0,5.0,3.0,4.0,10.0,3.0,0.0
10038,2.0,2.0,0.0,2.0,1.0,2.0,1.0,4.0,7.0,5.0,3.0,4.0,10.0,3.0,42.0,43.0,-19.810000000000002,0.0,2.0,0.0,4.0,2.0,3.0,2.0,5.0,8.0,6.0,4.0,5.0,1.0,4.0,0.0
10039,0.0,2.0,0.0,4.0,2.0,3.0,2.0,5.0,8.0,6.0,4.0,5.0,1.0,4.0,35.0,47.0,-27.195,0.0,2.0,0.0,4.0,3.0,4.0,3.0,6.0,9.0,7.0,5.0,1.0,2.0,1.0,0.0
10040,0.0,2.0,0.0,4.0,3.0,4.0,3.0,6.0,9.0,7.0,5.0,1.0,2.0,1.0,20.0,34.0,-14.085,0.0,2.0,0.0,2.0,4.0,5.0,4.0,7.0,1.0,8.0,1.0,2.0,3.0,2.0,0.0
10041,0.0,2.0,0.0,2.0,4.0,5.0,4.0,7.0,1.0,8.0,1.0,2.0,3.0,2.0,26.0,52.0,-5.605,2.0,2.0,0.0,2.0,5.0,6.0,5.0,8.0,2.0,1.0,2.0,3.0,4.0,3.0,0.0
10042,2.0,2.0,0.0,2.0,5.0,6.0,5.0,8.0,2.0,1.0,2.0,3.0,4.0,3.0,10.0,13.0,-13.08,2.0,2.0,0.0,4.0,6.0,7.0,1.0,9.0,3.0,2.0,3.0,4.0,5.0,4.0,0.0
10043,2.0,2.0,0.0,4.0,6.0,7.0,1.0,9.0,3.0,2.0,3.0,4.0,5.0,4.0,7.0,52.0,-5.4750000000000005,0.0,2.0,0.0,4.0,7.0,1.0,2.0,10.0,4.0,3.0,4.0,5.0,6.0,5.0,0.0
10044,0.0,2.0,0.0,4.0,7.0,1.0,2.0,10.0,4.0,3.0,4.0,5.0,6.0,5.0,0.0,17.0,-25.544999999999995,0.0,2.0,0.0,4.0,1.0,2.0,3.0,1.0,5.0,4.0,5.0,6.0,7.0,6.0,0.0
10045,0.0,2.0,0.0,4.0,1.0,2.0,3.0,1.0,5.0,4.0,5.0,6.0,7.0,6.0,35.0,47.0,-26.895,0.0,2.0,0.0,4.0,2.0,3.0,4.0,2.0,6.0,5.0,6.0,1.0,8.0,1.0,0.0
10046,0.0,2.0,0.0,4.0,2.0,3.0,4.0,2.0,6.0,5.0,6.0,1.0,8.0,1.0,34.0,34.0,-7.92,0.0,0.0,0.0,2.0,3.0,4.0,5.0,3.0,7.0,6.0,1.0,2.0,9.0,2.0,0.0
10047,0.0,0.0,0.0,2.0,3.0,4.0,5.0,3.0,7.0,6.0,1.0,2.0,9.0,2.0,21.0,12.0,-21.205,2.0,0.0,0.0,2.0,4.0,5.0,1.0,4.0,1.0,7.0,2.0,3.0,10.0,3.0,0.0
10048,2.0,0.0,0.0,2.0,4.0,5.0,1.0,4.0,1.0,7.0,2.0,3.0,10.0,3.0,45.0,43.0,-23.074999999999996,2.0,0.0,0.0,4.0,5.0,6.0,2.0,5.0,2.0,8.0,3.0,4.0,1.0,1.0,0.0
10049,2.0,0.0,0.0,4.0,5.0,6.0,2.0,5.0,2.0,8.0,3.0,4.0,1.0,1.0,37.0,52.0,-24.605,0.0,0.0,0.0,4.0,6.0,7.0,3.0,6.0,3.0,9.0,4.0,1.0,2.0,2.0,0.0
10050,0.0,0.0,0.0,4.0,6.0,7.0,3.0,6.0,3.0,9.0,4.0,1.0,2.0,2.0,45.0,34.0,-20.82,0.0,0.0,0.0,2.0,7.0,8.0,4.0,7.0,4.0,10.0,1.0,2.0,3.0,1.0,0.0
10051,0.0,0.0,0.0,2.0,7.0,8.0,4.0,7.0,4.0,10.0,1.0,2.0,3.0,1.0,45.0,52.0,-19.55,0.0,0.0,0.0,2.0,8.0,9.0,5.0,8.0,5.0,11.0,2.0,3.0,4.0,1.0,0.0
10052,0.0,0.0,0.0,2.0,8.0,9.0,5.0,8.0,5.0,11.0,2.0,3.0,4.0,1.0,37.0,52.0,-26.605,0.0,0.0,0.0,2.0,9.0,10.0,6.0,9.0,6.0,12.0,3.0,1.0,5.0,2.0,0.0
10053,0.0,0.0,0.0,2.0,9.0,10.0,6.0,9.0,6.0,12.0,3.0,1.0,5.0,2.0,45.0,34.0,-22.3,0.0,0.0,0.0,0.0,10.0,11.0,7.0,10.0,7.0,13.0,1.0,2.0,6.0,1.0,0.0
10054,0.0,0.0,0.0,0.0,10.0,11.0,7.0,10.0,7.0,13.0,1.0,2.0,6.0,1.0,45.0,52.0,-21.650000000000002,0.0,0.0,0.0,0.0,11.0,12.0,8.0,11.0,8.0,14.0,2.0,3.0,7.0,1.0,0.0
10055,0.0,0.0,0.0,0.0,11.0,12.0,8.0,11.0,8.0,14.0,2.0,3.0,7.0,1.0,45.0,52.0,-22.55,0.0,0.0,0.0,0.0,12.0,13.0,9.0,12.0,9.0,15.0,3.0,4.0,8.0,1.0,0.0
10056,0.0,0.0,0.0,0.0,12.0,13.0,9.0,12.0,9.0,15.0,3.0,4.0,8.0,1.0,45.0,14.0,-32.78,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.0,10.0,16.0,4.0,5.0,9.0,1.0,0.0
10057,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.0,10.0,16.0,4.0,5.0,9.0,1.0,37.0,52.0,-29.405,0.0,0.0,0.0,0.0,14.0,15.0,2.0,14.0,11.0,17.0,5.0,1.0,10.0,2.0,0.0
10058,0.0,0.0,0.0,0.0,14.0,15.0,2.0,14.0,11.0,17.0,5.0,1.0,10.0,2.0,45.0,34.0,-24.900000000000002,0.0,0.0,0.0,0.0,15.0,16.0,3.0,15.0,12.0,18.0,1.0,2.0,11.0,1.0,0.0
10059,0.0,0.0,0.0,0.0,15.0,16.0,3.0,15.0,12.0,18.0,1.0,2.0,11.0,1.0,45.0,34.0,-25.700000000000003,0.0,0.0,0.0,0.0,16.0,17.0,4.0,16.0,13.0,19.0,1.0,3.0,12.0,1.0,0.0
10060,0.0,0.0,0.0,0.0,16.0,17.0,4.0,16.0,13.0,19.0,1.0,3.0,12.0,1.0,45.0,52.0,-25.05,0.0,0.0,0.0,0.0,17.0,18.0,5.0,17.0,14.0,20.0,2.0,4.0,13.0,1.0,0.0
