,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10041,2.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,7.0,2.0,6.0,4.0,5.0,3.0,47.0,39.0,-12.36,0.0,0.0,0.0,0.0,2.0,6.0,5.0,4.0,8.0,3.0,7.0,1.0,6.0,1.0,0.0
10042,0.0,0.0,0.0,0.0,2.0,6.0,5.0,4.0,8.0,3.0,7.0,1.0,6.0,1.0,47.0,22.0,-18.195,0.0,0.0,0.0,0.0,3.0,7.0,6.0,5.0,1.0,4.0,8.0,2.0,7.0,1.0,0.0
10043,0.0,0.0,0.0,0.0,3.0,7.0,6.0,5.0,1.0,4.0,8.0,2.0,7.0,1.0,49.0,5.0,-15.139999999999999,0.0,0.0,0.0,0.0,4.0,1.0,7.0,6.0,2.0,5.0,9.0,3.0,8.0,1.0,0.0
10044,0.0,0.0,0.0,0.0,4.0,1.0,7.0,6.0,2.0,5.0,9.0,3.0,8.0,1.0,50.0,10.0,-18.23,0.0,0.0,0.0,0.0,5.0,2.0,1.0,7.0,3.0,6.0,10.0,4.0,9.0,2.0,0.0
10045,0.0,0.0,0.0,0.0,5.0,2.0,1.0,7.0,3.0,6.0,10.0,4.0,9.0,2.0,50.0,43.0,-11.509999999999998,0.0,0.0,0.0,2.0,6.0,3.0,2.0,8.0,4.0,7.0,11.0,5.0,1.0,3.0,0.0
10046,0.0,0.0,0.0,2.0,6.0,3.0,2.0,8.0,4.0,7.0,11.0,5.0,1.0,3.0,49.0,39.0,-13.259999999999998,0.0,0.0,0.0,0.0,7.0,4.0,3.0,9.0,5.0,8.0,12.0,1.0,2.0,1.0,0.0
10047,0.0,0.0,0.0,0.0,7.0,4.0,3.0,9.0,5.0,8.0,12.0,1.0,2.0,1.0,27.0,4.0,-20.355,0.0,0.0,0.0,0.0,1.0,5.0,4.0,10.0,6.0,1.0,13.0,2.0,3.0,2.0,0.0
10048,0.0,0.0,0.0,0.0,1.0,5.0,4.0,10.0,6.0,1.0,13.0,2.0,3.0,2.0,34.0,33.0,-30.130000000000003,0.0,0.0,0.0,2.0,2.0,6.0,5.0,11.0,7.0,2.0,1.0,3.0,4.0,3.0,0.0
10049,0.0,0.0,0.0,2.0,2.0,6.0,5.0,11.0,7.0,2.0,1.0,3.0,4.0,3.0,16.0,15.0,-12.98,2.0,0.0,0.0,2.0,3.0,7.0,6.0,1.0,8.0,3.0,2.0,4.0,5.0,4.0,0.0
10050,2.0,0.0,0.0,2.0,3.0,7.0,6.0,1.0,8.0,3.0,2.0,4.0,5.0,4.0,7.0,24.0,-23.794999999999998,0.0,0.0,0.0,0.0,4.0,1.0,7.0,2.0,1.0,4.0,3.0,5.0,6.0,5.0,0.0
