,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10033,7.0,0.0,0.0,2.0,4.0,2.0,3.0,5.0,5.0,3.0,1.0,4.0,2.0,1.0,39.0,19.0,-9.455,7.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,6.0,4.0,2.0,1.0,3.0,2.0,0.0
10034,7.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,6.0,4.0,2.0,1.0,3.0,2.0,34.0,2.0,-6.035,7.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,7.0,5.0,1.0,2.0,4.0,3.0,0.0
10035,7.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,7.0,5.0,1.0,2.0,4.0,3.0,27.0,8.0,-16.675,5.0,0.0,0.0,2.0,2.0,1.0,6.0,3.0,8.0,1.0,2.0,3.0,5.0,4.0,0.0
10036,5.0,0.0,0.0,2.0,2.0,1.0,6.0,3.0,8.0,1.0,2.0,3.0,5.0,4.0,20.0,11.0,-14.259999999999998,5.0,0.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,6.0,5.0,0.0
10037,5.0,0.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,3.0,4.0,6.0,5.0,34.0,42.0,-12.5,5.0,0.0,0.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,5.0,1.0,6.0,0.0
10038,5.0,0.0,0.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,5.0,1.0,6.0,39.0,49.0,-5.734999999999999,5.0,0.0,0.0,0.0,5.0,4.0,3.0,6.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0
10039,5.0,0.0,0.0,0.0,5.0,4.0,3.0,6.0,3.0,4.0,2.0,1.0,2.0,1.0,34.0,2.0,-7.895,5.0,0.0,0.0,0.0,1.0,5.0,4.0,7.0,4.0,5.0,1.0,2.0,3.0,2.0,0.0
10040,5.0,0.0,0.0,0.0,1.0,5.0,4.0,7.0,4.0,5.0,1.0,2.0,3.0,2.0,39.0,16.0,-9.855,5.0,0.0,2.0,0.0,2.0,6.0,5.0,1.0,5.0,6.0,2.0,1.0,4.0,3.0,0.0
10041,5.0,0.0,2.0,0.0,2.0,6.0,5.0,1.0,5.0,6.0,2.0,1.0,4.0,3.0,9.0,29.0,-14.304999999999996,5.0,0.0,2.0,0.0,3.0,1.0,6.0,2.0,6.0,1.0,3.0,2.0,5.0,4.0,0.0
10042,5.0,0.0,2.0,0.0,3.0,1.0,6.0,2.0,6.0,1.0,3.0,2.0,5.0,4.0,34.0,11.0,-14.56,5.0,0.0,4.0,0.0,4.0,2.0,1.0,3.0,7.0,2.0,1.0,3.0,6.0,5.0,0.0
10043,5.0,0.0,4.0,0.0,4.0,2.0,1.0,3.0,7.0,2.0,1.0,3.0,6.0,5.0,39.0,22.0,-11.770000000000001,5.0,0.0,2.0,0.0,5.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,7.0,6.0,0.0
10044,5.0,0.0,2.0,0.0,5.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,7.0,6.0,40.0,49.0,-12.555,5.0,0.0,2.0,0.0,6.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0
10045,5.0,0.0,2.0,0.0,6.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,34.0,2.0,-7.695,5.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,3.0,5.0,1.0,3.0,2.0,2.0,0.0
10046,5.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,3.0,5.0,1.0,3.0,2.0,2.0,39.0,54.0,-4.365,5.0,0.0,0.0,0.0,2.0,6.0,5.0,7.0,4.0,6.0,2.0,1.0,3.0,3.0,0.0
10047,5.0,0.0,0.0,0.0,2.0,6.0,5.0,7.0,4.0,6.0,2.0,1.0,3.0,3.0,9.0,54.0,-5.695,5.0,0.0,0.0,0.0,3.0,1.0,6.0,8.0,5.0,7.0,3.0,2.0,4.0,4.0,0.0
10048,5.0,0.0,0.0,0.0,3.0,1.0,6.0,8.0,5.0,7.0,3.0,2.0,4.0,4.0,10.0,11.0,-22.834999999999997,5.0,0.0,2.0,0.0,4.0,2.0,1.0,9.0,6.0,8.0,4.0,3.0,5.0,5.0,0.0
10049,5.0,0.0,2.0,0.0,4.0,2.0,1.0,9.0,6.0,8.0,4.0,3.0,5.0,5.0,25.0,29.0,-19.935,5.0,0.0,2.0,0.0,5.0,3.0,2.0,10.0,7.0,1.0,5.0,4.0,6.0,6.0,0.0
10050,5.0,0.0,2.0,0.0,5.0,3.0,2.0,10.0,7.0,1.0,5.0,4.0,6.0,6.0,19.0,45.0,-14.065000000000001,5.0,0.0,2.0,0.0,6.0,4.0,3.0,1.0,8.0,2.0,6.0,5.0,7.0,1.0,0.0
