,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10025,8.0,2.0,0.0,1.0,0.0,0.0,23.0,6.0,1.0,1.0,3.0,26.0,3.0,6.0,2.0,3.0,4.0,1.0,26.0,17.0,2.0,43.0,2.0,28.0,-22.916666666666664,8.0,4.0,0.0,1.0,0.0,2.0,1.0,7.0,2.0,2.0,4.0,1.0,4.0,7.0,1.0,4.0,5.0,2.0,27.0,18.0,3.0,0.0
10026,8.0,4.0,0.0,1.0,0.0,2.0,1.0,7.0,2.0,2.0,4.0,1.0,4.0,7.0,1.0,4.0,5.0,2.0,27.0,18.0,3.0,38.0,67.0,60.0,-31.144999999999996,8.0,6.0,0.0,1.0,0.0,2.0,2.0,8.0,3.0,3.0,5.0,2.0,5.0,1.0,2.0,5.0,6.0,3.0,1.0,1.0,4.0,0.0
10027,8.0,6.0,0.0,1.0,0.0,2.0,2.0,8.0,3.0,3.0,5.0,2.0,5.0,1.0,2.0,5.0,6.0,3.0,1.0,1.0,4.0,8.0,7.0,9.0,-26.031666666666666,8.0,8.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,4.0,6.0,3.0,6.0,2.0,3.0,6.0,7.0,4.0,2.0,2.0,5.0,0.0
10028,8.0,8.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,4.0,6.0,3.0,6.0,2.0,3.0,6.0,7.0,4.0,2.0,2.0,5.0,54.0,44.0,17.0,-23.30833333333333,8.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,7.0,4.0,7.0,3.0,1.0,7.0,1.0,5.0,3.0,3.0,6.0,0.0
10029,8.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,7.0,4.0,7.0,3.0,1.0,7.0,1.0,5.0,3.0,3.0,6.0,37.0,74.0,47.0,-20.761666666666667,6.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,2.0,8.0,5.0,8.0,1.0,2.0,1.0,2.0,6.0,4.0,4.0,1.0,0.0
10030,6.0,6.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,2.0,8.0,5.0,8.0,1.0,2.0,1.0,2.0,6.0,4.0,4.0,1.0,31.0,14.0,9.0,-29.618333333333332,8.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,9.0,6.0,1.0,2.0,3.0,2.0,3.0,7.0,5.0,5.0,2.0,0.0
10031,8.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,9.0,6.0,1.0,2.0,3.0,2.0,3.0,7.0,5.0,5.0,2.0,63.0,67.0,47.0,-14.473333333333334,8.0,8.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,4.0,10.0,7.0,2.0,3.0,4.0,1.0,4.0,8.0,1.0,1.0,3.0,0.0
10032,8.0,8.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,4.0,10.0,7.0,2.0,3.0,4.0,1.0,4.0,8.0,1.0,1.0,3.0,14.0,8.0,9.0,-21.716666666666665,8.0,6.0,0.0,2.0,0.0,0.0,8.0,1.0,1.0,5.0,11.0,8.0,3.0,4.0,5.0,2.0,5.0,9.0,2.0,2.0,4.0,0.0
10033,8.0,6.0,0.0,2.0,0.0,0.0,8.0,1.0,1.0,5.0,11.0,8.0,3.0,4.0,5.0,2.0,5.0,9.0,2.0,2.0,4.0,63.0,44.0,9.0,-24.19833333333333,8.0,8.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,6.0,12.0,9.0,4.0,5.0,1.0,3.0,6.0,10.0,1.0,3.0,5.0,0.0
10034,8.0,8.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,6.0,12.0,9.0,4.0,5.0,1.0,3.0,6.0,10.0,1.0,3.0,5.0,54.0,2.0,9.0,-18.396666666666665,8.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,13.0,10.0,5.0,6.0,2.0,4.0,1.0,11.0,2.0,4.0,6.0,0.0
10035,8.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,13.0,10.0,5.0,6.0,2.0,4.0,1.0,11.0,2.0,4.0,6.0,37.0,57.0,35.0,-27.718333333333337,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,14.0,11.0,6.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,7.0,0.0
10036,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,14.0,11.0,6.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,7.0,37.0,31.0,23.0,-326.2333333333333,4.0,6.0,2.0,0.0,0.0,2.0,3.0,3.0,5.0,9.0,1.0,12.0,1.0,1.0,4.0,6.0,3.0,2.0,4.0,6.0,8.0,0.0
10037,4.0,6.0,2.0,0.0,0.0,2.0,3.0,3.0,5.0,9.0,1.0,12.0,1.0,1.0,4.0,6.0,3.0,2.0,4.0,6.0,8.0,29.0,57.0,27.0,-331.725,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,10.0,2.0,1.0,2.0,2.0,5.0,7.0,4.0,1.0,5.0,7.0,9.0,0.0
10038,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,10.0,2.0,1.0,2.0,2.0,5.0,7.0,4.0,1.0,5.0,7.0,9.0,17.0,74.0,17.0,-18.74833333333333,2.0,4.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,1.0,3.0,2.0,3.0,3.0,6.0,8.0,5.0,2.0,6.0,8.0,1.0,0.0
10039,2.0,4.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,1.0,3.0,2.0,3.0,3.0,6.0,8.0,5.0,2.0,6.0,8.0,1.0,69.0,74.0,17.0,-21.096666666666668,2.0,2.0,0.0,0.0,0.0,2.0,6.0,6.0,8.0,1.0,4.0,3.0,4.0,4.0,7.0,9.0,6.0,3.0,7.0,1.0,1.0,0.0
10040,2.0,2.0,0.0,0.0,0.0,2.0,6.0,6.0,8.0,1.0,4.0,3.0,4.0,4.0,7.0,9.0,6.0,3.0,7.0,1.0,1.0,69.0,74.0,9.0,-29.623333333333335,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,9.0,2.0,5.0,4.0,5.0,5.0,8.0,10.0,7.0,4.0,8.0,1.0,1.0,0.0
